Sample,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,-134586,-8388608,5330481,6118789,-1057689,-7643551,464547,1033357
1,-134595,-8388608,5330256,6118451,-1057437,-7643423,464674,1033445
2,-134595,-8388608,5330068,6118141,-1057191,-7643003,464782,1033539
3,-134462,-8388608,5329848,6117846,-1056934,-7642199,464806,1033370
4,-134244,-8388608,5329592,6117516,-1056729,-7641930,464812,1033006
5,-133964,-8388608,5329329,6117222,-1056532,-7642032,464814,1032574
6,-133658,-8388608,5329121,6116935,-1056326,-7642087,464788,1032126
7,-133267,-8388608,5328921,6116608,-1056161,-7642288,464731,1031576
8,-132907,-8388608,5328759,6116325,-1055963,-7642519,464663,1031084
9,-132756,-8388608,5328549,6116058,-1055772,-7642421,464656,1030852
10,-132770,-8388608,5328359,6115836,-1055577,-7642292,464773,1030941
11,-133076,-8388608,5328263,6115623,-1055373,-7642174,464982,1031551
12,-133361,-8388608,5328133,6115455,-1055169,-7641631,465176,1032121
13,-133665,-8388608,5327960,6115269,-1054957,-7640856,465365,1032607
14,-133978,-8388608,5327744,6115054,-1054738,-7640419,465519,1033143
15,-134160,-8388608,5327572,6114877,-1054576,-7640203,465619,1033464
16,-134184,-8388608,5327385,6114749,-1054444,-7640147,465693,1033549
17,-134178,-8388608,5327172,6114597,-1054309,-7640060,465754,1033579
18,-134138,-8388608,5326964,6114428,-1054181,-7639905,465796,1033554
19,-134101,-8388608,5326735,6114231,-1054091,-7639772,465801,1033573
20,-134019,-8388608,5326535,6114091,-1053993,-7639799,465779,1033469
21,-133757,-8388608,5326324,6113969,-1053946,-7639746,465722,1033118
22,-133434,-8388608,5326110,6113844,-1053949,-7639702,465733,1032746
23,-133156,-8388608,5325936,6113739,-1053921,-7639763,465671,1032274
24,-132736,-8388608,5325749,6113629,-1053933,-7639837,465526,1031676
25,-132457,-8388608,5325613,6113543,-1053947,-7639813,465511,1031363
26,-132359,-8388608,5325568,6113504,-1053936,-7639688,465506,1031181
27,-132449,-8388608,5325440,6113415,-1053877,-7639527,465523,1031314
28,-132775,-8388608,5325311,6113399,-1053825,-7639421,465710,1031981
29,-133081,-8388608,5325223,6113409,-1053779,-7639354,465839,1032513
30,-133369,-8388608,5325112,6113427,-1053763,-7639107,465912,1032976
31,-133683,-8388608,5325009,6113419,-1053749,-7638813,465982,1033472
32,-133822,-8388608,5324865,6113413,-1053711,-7638150,465908,1033533
33,-133841,-8388608,5324689,6113401,-1053785,-7637469,465848,1033570
34,-133822,-8388608,5324611,6113386,-1053854,-7637165,465817,1033640
35,-133851,-8388608,5324566,6113394,-1053916,-7636874,465772,1033660
36,-133834,-8388608,5324495,6113382,-1054006,-7636227,465716,1033654
37,-133664,-8388608,5324433,6113389,-1054114,-7635427,465599,1033370
38,-133416,-8388608,5324360,6113381,-1054207,-7635124,465379,1032841
39,-133115,-8388608,5324238,6113314,-1054287,-7634430,465111,1032184
40,-132725,-8388608,5324119,6113245,-1054397,-7632646,464851,1031472
41,-132354,-8388608,5324026,6113216,-1054552,-7631439,464732,1031032
42,-132116,-8388608,5324033,6113186,-1054700,-7630673,464696,1030843
43,-132044,-8388608,5324069,6113228,-1054807,-7629956,464673,1030764
