Sample,X,Y,Z
0,-2048,0,-2048
1,-520,-2048,-512
2,165,-897,-857
3,189,173,-925
4,224,170,-878
5,222,124,-876
6,199,152,-860
7,196,136,-855
8,210,129,-856
9,204,103,-889
10,188,119,-877
11,184,128,-914
12,206,124,-914
13,193,144,-876
14,185,158,-861
15,192,172,-860
16,198,156,-831
17,203,137,-841
18,195,116,-848
19,198,128,-877
20,199,121,-904
21,204,127,-916
22,207,119,-928
23,211,137,-905
24,192,149,-874
25,192,163,-857
26,204,143,-848
27,201,124,-859
28,199,124,-866
29,193,115,-881
30,200,115,-888
31,195,126,-902
32,201,143,-908
33,195,160,-861
34,183,159,-865
35,195,159,-864
36,191,142,-856
37,195,120,-852
38,201,119,-876
39,207,115,-909
40,207,111,-928
41,214,113,-912
42,207,127,-880
43,209,152,-857
44,199,163,-845
45,199,164,-844
46,185,143,-852
47,199,131,-855
48,198,127,-874
49,192,115,-914
50,198,121,-936
51,204,120,-931
52,201,124,-877
53,184,147,-848
54,190,163,-861
55,190,159,-844
56,190,159,-844
57,199,142,-856
58,190,135,-873
59,193,132,-897
60,206,121,-921
61,204,120,-936
62,207,131,-909
63,206,156,-848
64,195,161,-849
65,184,160,-836
66,192,136,-848
67,192,120,-865
68,195,117,-866
69,191,112,-900
70,192,142,-916
71,215,151,-905
72,211,147,-914
73,201,159,-892
74,176,163,-848
75,177,156,-848
76,184,128,-847
77,186,124,-860
78,192,108,-877
79,195,111,-900
80,195,127,-904
81,208,150,-932
82,204,156,-894
83,193,172,-893
84,191,166,-865
85,188,144,-847
86,190,136,-845
87,196,108,-845
88,204,103,-868
89,211,112,-877
90,204,129,-900
91,199,135,-927
92,190,147,-895
93,161,159,-866
94,169,175,-849
95,190,175,-848
96,200,133,-857
97,211,108,-863
98,219,99,-872
99,207,113,-905
100,208,119,-925
101,195,124,-908
102,195,150,-912
103,195,160,-874
104,183,168,-857
105,190,156,-857
106,207,144,-846
107,207,119,-877
108,200,112,-880
109,199,129,-880
110,195,131,-911
111,176,151,-912
112,172,179,-879
113,176,175,-855
114,176,175,-855
115,184,150,-849
116,204,135,-852
117,206,120,-863
118,198,108,-876
119,196,111,-897
120,207,115,-897
121,206,140,-893
122,198,160,-898
123,193,163,-881
124,188,168,-856
125,192,152,-848
126,193,137,-848
127,195,113,-866
128,204,115,-880
129,185,115,-912
130,198,128,-909
131,204,134,-898
132,196,151,-900
133,192,167,-868
134,185,177,-858
135,199,159,-845
136,184,127,-857
137,200,126,-883
138,199,124,-884
139,206,134,-900
140,195,118,-900
141,192,142,-880
142,184,143,-877
143,198,159,-868
144,193,154,-868
145,200,131,-874
146,206,135,-889
147,201,120,-900
148,200,120,-904
149,199,135,-894
150,187,147,-884
151,183,143,-874
152,192,144,-860
153,192,151,-864
154,195,137,-860
155,200,127,-857
156,195,127,-858
157,203,135,-896
158,191,140,-920
159,184,127,-908
160,192,140,-891
161,191,147,-881
162,192,172,-848
163,199,167,-836
164,200,152,-852
165,207,129,-874
166,207,115,-871
167,191,123,-877
168,190,125,-921
169,200,121,-945
170,189,158,-909
171,191,163,-873
172,191,163,-873
173,201,156,-864
174,199,151,-841
175,204,153,-836
176,187,125,-856
177,185,124,-882
178,174,115,-899
179,190,120,-926
180,187,127,-912
181,198,152,-896
182,195,166,-863
183,198,169,-843
184,195,156,-852
185,201,134,-857
186,183,121,-857
187,184,137,-881
188,195,128,-909
189,195,135,-910
190,204,135,-899
191,196,143,-868
192,207,159,-865
193,200,144,-873
194,201,151,-880
195,199,137,-866
196,195,135,-882
197,193,127,-898
198,199,126,-911
199,191,119,-871
200,192,124,-861
201,190,147,-865
202,187,158,-865
203,184,142,-863
204,192,137,-848
205,188,145,-864
206,200,135,-925
207,192,135,-930
208,196,131,-901
209,199,136,-875
210,182,143,-866
211,192,147,-866
212,199,145,-857
213,208,127,-864
214,199,127,-866
215,192,135,-901
216,184,134,-898
217,174,147,-893
218,176,143,-885
219,184,143,-893
220,190,140,-872
221,196,150,-887
222,212,148,-889
223,196,144,-868
224,199,140,-871
225,195,143,-880
226,179,137,-866
227,191,140,-861
228,200,135,-869
229,200,127,-897
230,200,127,-897
231,209,140,-920
232,214,145,-912
233,212,151,-900
234,184,140,-900
235,179,151,-884
236,174,144,-851
237,167,121,-852
238,184,126,-852
239,185,127,-859
240,201,132,-884
241,211,143,-925
242,199,140,-908
243,207,153,-889
244,188,148,-871
245,175,143,-847
246,187,142,-861
247,207,115,-857
248,207,111,-845
249,203,126,-857
250,195,117,-890
251,190,142,-904
252,187,152,-900
253,169,156,-925
254,187,156,-877
255,179,159,-868
256,182,151,-865
257,196,144,-848
258,200,124,-850
259,193,123,-889
260,196,115,-909
261,195,115,-921
262,184,126,-897
263,193,142,-891
264,188,144,-864
265,192,158,-849
266,201,155,-836
267,199,148,-860
268,188,144,-886
269,192,131,-881
270,184,135,-904
271,176,152,-900
272,180,144,-888
273,192,153,-897
274,188,147,-869
275,199,144,-868
276,212,147,-865
277,215,119,-861
278,184,112,-884
279,183,135,-899
280,182,142,-921
281,182,143,-909
282,184,148,-887
283,184,144,-849
284,186,159,-860
285,192,144,-840
286,207,135,-833
287,201,124,-881
288,201,124,-881
